;ts_start;ts_stop;sciName;comName_en;confidence;comName;speciesCode;category;taxonOrder;bandingCodes;comNameCodes;sciNameCodes;order;familyCode;familyComName;familySciName;extinct;extinctYear;photo_url
43;138.0;141.0;Bubo virginianus;Great Horned Owl;0.113679886;Grand-duc d'Amérique;grhowl;species;8481.0;['GHOW'];[];['BUVI'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/2/23/Bubo_virginianus_06.jpg
44;141.0;144.0;Strix nebulosa;Great Gray Owl;0.20599028;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
45;141.0;144.0;Psiloscops flammeolus;Flammulated Owl;0.10917029;Petit-duc nain;flaowl;species;8370.0;['FLOW'];[];['PSFL'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/9/94/Flammulated_owl.jpg
46;144.0;147.0;Columba livia;Rock Pigeon;0.55750084;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
47;144.0;147.0;Strix nebulosa;Great Gray Owl;0.15877093;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
48;150.0;153.0;Columba livia;Rock Pigeon;0.40107659;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
49;150.0;153.0;Strix nebulosa;Great Gray Owl;0.16554742;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
50;159.0;162.0;Columba livia;Rock Pigeon;0.14990845;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
51;165.0;168.0;Columba livia;Rock Pigeon;0.1829676;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
52;165.0;168.0;Bubo bubo;Eurasian Eagle-Owl;0.122564204;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
